Feature,Information_Gain,IG_Rank,Gain_Ratio,GR_Rank,Gini_Importance,Gini_Rank,Chi2_Score,Chi2_Rank,F_Score,F_Rank,Average_Rank,Final_Rank
Curricular units 2nd sem (approved),0.31053460789733633,1,0.09818712789576246,2,0.5039410158857173,1,176.5263268186418,4,1410.7329383793654,1,1.8,1
Tuition fees up to date,0.07863734045379056,6,0.14907928517970057,1,0.05863903023956041,2,98.29019857124672,7,505.621429204765,5,4.2,2
Curricular units 2nd sem (grade),0.24642337965154804,2,0.03612169869782144,7,0.02706330166617019,8,214.3418502899587,3,1134.1095443408549,2,4.4,3
Curricular units 1st sem (approved),0.23604931854451383,3,0.07524835292217177,3,0.02762415600923372,7,96.91357189056833,8,859.8667679817912,3,4.8,4
Curricular units 1st sem (grade),0.1955080560588749,4,0.027913896509609144,9,0.016652040258442143,13,126.07451538032274,6,713.5173278989374,4,7.2,5
Curricular units 2nd sem (evaluations),0.09881988737690484,5,0.027751707680909527,10,0.0336417607679165,5,9.897537304566622,15,87.80109205125132,11,9.2,6
Scholarship holder,0.056292186361476704,10,0.06960302529277952,5,0.006747676378760235,24,308.10593566034845,1,225.75143715767325,6,9.2,7
Age at enrollment,0.0553927814533588,11,0.014600410167884001,17,0.036944174731714366,4,50.16463038539086,10,154.71207088013506,7,9.8,8
Debtor,0.031666034982582136,14,0.06197233672539344,6,0.007051762744458444,23,229.84754842700715,2,137.6475267450392,8,10.6,9
Application mode,0.06153898320173634,8,0.02340911841587727,12,0.009135372527907248,20,55.940959132041236,9,104.3507466378234,10,11.8,10
Curricular units 1st sem (enrolled),0.04066903314350867,12,0.016431550319655677,15,0.04771618581840183,3,4.371813476555478,21,59.46739061748183,13,12.8,11
Gender,0.023553901838651026,17,0.02517537371476232,11,0.007619050934858706,22,151.2224521697912,5,123.04181135048344,9,12.8,12
Curricular units 1st sem (evaluations),0.07650815888594642,7,0.021128275180556978,14,0.02257684572923003,10,3.4529840809408427,23,37.52783979330081,14,13.6,13
Curricular units 2nd sem (enrolled),0.023095980712732223,18,0.009719692428342357,19,0.028502964579562223,6,4.920152067653914,20,75.59190969031496,12,15.0,14
Previous qualification,0.024493681464087924,16,0.02255586347598428,13,0.0038714016737245232,27,24.81889597151021,12,19.515717850940984,20,17.6,15
Mother's occupation,0.026828061063965736,15,0.009102436627868653,21,0.022926964125483156,9,2.185117349396225,27,13.463741639920048,22,18.8,16
Mother's qualification,0.023037557648651896,19,0.00837848675079582,22,0.013615500297461466,14,5.750921764748594,19,11.240465679194326,24,19.6,17
Curricular units 1st sem (without evaluations),0.015208264735896648,20,0.031340944935257416,8,0.0014187176004480369,31,6.578568675788452,17,11.437318750032569,23,19.8,18
Displaced,0.005136076645727128,24,0.005171043740932664,25,0.00390079086346865,26,26.08338206119935,11,29.23922620345411,15,20.2,19
Father's occupation,0.012648125908291563,21,0.0036612008755328974,26,0.0199785877951095,12,3.0643221309095874,25,20.10494463363038,17,20.2,20
Course,0.059665319276519746,9,0.015522380008055869,16,0.02081525688795412,11,0.20999787014070592,34,0.796672925954468,31,20.2,21
Curricular units 2nd sem (without evaluations),0.004569491961984529,25,0.009409611113445985,20,0.003638653450804617,28,12.607046978343295,14,20.185530594572512,16,20.6,22
Father's qualification,0.034266225286651686,13,0.012713886041672699,18,0.011417063837887835,17,1.7349088726270112,28,3.631091514898945,29,21.0,23
Application order,0.0030036883484803045,26,0.0019024588201882163,28,0.008093346521622755,21,4.342487439740511,22,19.727173545042834,19,23.2,24
International,0.01223530377391091,22,0.07285366479542865,4,0.0009491032920637376,32,1.2480923301581035,30,0.6397094372408942,32,24.0,25
Curricular units 1st sem (credited),0.00625123395997762,23,0.006013688783161775,24,0.0030477384164978973,29,6.242477560109342,18,7.979355432981602,26,24.0,26
Marital status,0.0001107715292729683,30,0.0001735886053920309,30,0.0017885015230993506,30,16.162924869663712,13,19.832254668921177,18,24.2,27
Curricular units 2nd sem (credited),0.0,31,0.0,31,0.010600148160365724,19,7.103985638461465,16,9.974541745242423,25,24.4,28
GDP,0.0017271669256198052,27,0.0005227374570404249,29,0.01290504568439751,15,1.6055753728504198,29,4.799008995763773,28,25.6,29
Daytime/evening attendance,0.0012609850661209343,29,0.0025350041520279146,27,0.0,33,3.1377463228998246,24,14.454123435665933,21,26.8,30
Unemployment rate,0.0,33,0.0,33,0.012044731487290912,16,2.4588028986860415,26,5.922513341622597,27,27.0,31
Nacionality,0.0016356177154608353,28,0.006565492156736012,23,0.004133631824681763,25,0.6115182728658866,33,0.5090157865869707,33,28.4,32
Inflation rate,0.0,34,0.0,34,0.010999478285705086,18,0.7296353985699235,31,1.7419897938268434,30,29.4,33
Educational special needs,0.0,32,0.0,32,0.0,34,0.6346488157345498,32,0.3208540674218296,34,32.8,34
