Feature,Importance
Curricular units 2nd sem (approved),12.387996442487143
Curricular units 1st sem (approved),10.333042031626682
Tuition fees up to date,10.05978524369388
Curricular units 1st sem (grade),10.00130783895376
Displaced,9.829604698816283
Curricular units 2nd sem (enrolled),9.772646671277343
Curricular units 2nd sem (grade),9.71344524814799
Application mode,9.711912132517003
Marital status,9.62244076940669
Curricular units 2nd sem (evaluations),9.58638354518826
Previous qualification,9.291269715805473
Application order,9.245136631253885
Curricular units 1st sem (evaluations),9.10640586439522
Debtor,8.888553351715583
Age at enrollment,8.88508154362995
Mother's occupation,8.860448579739604
Father's occupation,8.718818482118353
Scholarship holder,8.633995504003584
Curricular units 1st sem (enrolled),8.48087051163995
Gender,8.269089985202106
